ZONA,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,indirect2,indirect,direct,d1cptm,d2cptm,d3cptm,Vol00_Vol00_sum,Vol05_Vol05_sum,Vol10_Vol10_sum,Vol15_Vol15_sum,Vol20_Vol20_sum,Vol95_Vol95_sum
399,Pinheirinho,18,Itaquaquecetuba,114,Itaquaquecetuba,2650.99,0,0,0,0,0,1,23250920,26005119,29584991,33676496,36757038,18824576
400,Miguel Badra,37,Suzano,132,Suzano,3270.75,0,0,0,0,0,1,38946991,40460026,42384809,44484655,46091920,34632597
401,Suzano,37,Suzano,132,Suzano,3452.13,0,0,0,0,0,0,58241388,59865520,61729963,63676942,65711310,55633039
402,Guaió,37,Suzano,132,Suzano,8721.28,0,0,0,0,0,0,7469011,8350827,9584180,11225406,14093190,6298410
403,Ouro Fino,37,Suzano,132,Suzano,5222.79,0,0,0,0,0,0,4169000,4521035,5102452,5946433,7715975,3748181
404,Mogi das Cruzes,23,Mogi das Cruzes,119,Mogi das Cruzes,1358.15,0,0,0,0,0,0,46170806,46897281,47712722,48617258,49083944,43804728
405,Estudantes,23,Mogi das Cruzes,119,Mogi das Cruzes,995.8,0,0,0,0,0,0,15568113,16261109,16987342,17854994,18658498,14465122
406,Vila Oliveira,23,Mogi das Cruzes,119,Mogi das Cruzes,2914.74,0,0,0,0,0,0,19360668,20009508,20808289,21736328,22985975,17938860
407,Brás Cubas,23,Mogi das Cruzes,119,Mogi das Cruzes,2147.95,0,0,0,0,0,0,48142866,49376278,50756680,52038239,52892246,43982844
408,Jundiapeba,23,Mogi das Cruzes,119,Mogi das Cruzes,2374.68,0,0,0,0,0,0,11166323,11699167,12426738,13333042,13981861,8931676
409,Jardim Graziella,23,Mogi das Cruzes,119,Mogi das Cruzes,3985.96,0,0,0,0,0,1,5313494,6624158,8558847,10603806,12596185,3970425
410,Itapeti,23,Mogi das Cruzes,119,Mogi das Cruzes,15936.9,0,0,0,0,0,1,2729552,3622546,5167334,7287451,11020338,2194705
411,Sabaúna,23,Mogi das Cruzes,119,Mogi das Cruzes,4422.81,0,0,0,0,0,0,8253693,9219002,10414756,11787966,13501073,5582533
412,César de Souza,23,Mogi das Cruzes,119,Mogi das Cruzes,2932.91,0,0,0,0,0,0,15021419,15869919,17125938,18538846,19531547,13045116
413,Taiaçupeba,23,Mogi das Cruzes,119,Mogi das Cruzes,34359.29,0,0,0,0,0,0,3747517,4517796,5748750,8281065,16282459,2838798
414,Biritiba-Mirim,3,Biritiba-Mirim,99,Biritiba-Mirim,31812.79,0,0,0,0,0,0,8727171,9777368,11453955,13605991,16555722,7389035
415,Salesópolis,29,Salesópolis,125,Salesópolis,42596.88,0,0,0,0,0,0,4184490,4753470,5792907,7302709,10162882,3940001
416,Guararema,14,Guararema,110,Guararema,27143.95,0,0,0,0,0,0,7203696,8626181,10836301,14199228,22050116,6546608
417,Santa Paula,34,São Caetano do Sul,130,São Caetano do Sul,294.73,0,0,0,0,0,0,26960363,26972508,26984700,26994403,26994403,26960363
418,Vila Gerti,34,São Caetano do Sul,130,São Caetano do Sul,380.18,0,0,0,0,0,0,24793661,24798935,24804223,24845693,25031777,24793661
419,Estrada das Lágrimas,34,São Caetano do Sul,130,São Caetano do Sul,360.05,0,0,0,0,0,0,17600118,17651656,17703232,17748432,17767998,17600118
420,Santo Antônio,34,São Caetano do Sul,130,São Caetano do Sul,133.88,0,0,0,0,0,0,6046758,6047329,6047912,6048372,6048372,6046758
421,São Caetano do Sul,34,São Caetano do Sul,130,São Caetano do Sul,367.7,0,0,0,0,0,0,21064975,21065521,21066039,21067352,21071847,21057427
422,Santo André,32,Santo André,128,Santo André,795.2,0,0,0,0,0,0,58108706,58174080,58239387,58321611,58471220,58092779
423,Vila Gilda,32,Santo André,128,Santo André,291.6,0,0,0,0,0,0,19091801,19101678,19111517,19119417,19119417,19028057
424,Valparaíso,32,Santo André,128,Santo André,246.83,0,0,0,0,0,0,14666879,14668169,14669481,14671685,14677489,14666879
