NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,g10,g15,g20,indirect,indirect2,direct,d1cptm,d2cptm,d3cptm,Vol05_Vol05_sum,Vol10_Vol10_sum,Vol15_Vol15_sum,Vol20_Vol20_sum
"47",Vila Bertioga,"36",São Paulo,"1",Água Rasa,195.28,0.000000000000000,8.111429741909054,40.613478082752970,"1","0","0","0","0","0",12722905.000000000000000,12722905.000000000000000,12724489.000000000000000,12732420.000000000000000
"48",Regente Feijó,"36",São Paulo,"1",Água Rasa,203.96,82.192586781721900,65.630515787409294,0.000000000000000,"1","0","0","0","0","0",12406042.000000000000000,12422805.999999998137355,12436192.000000001862645,12436192.000000001862645
"49",Ana Rosa,"36",São Paulo,"92",Vila Mariana,94.46,0.000000000000000,25.979250476392124,129.822146940503927,"0","0","0","0","0","0",7490959.000000000000000,7490959.000000000000000,7493413.000000000000000,7505676.000000000000000
"50",Jardim da Glória,"36",São Paulo,"92",Vila Mariana,88.43,42.248105846432203,33.744204455501524,0.000000000000000,"0","0","0","0","0","0",5213277.000000000000000,5217013.000000000931323,5219997.000000000000000,5219997.000000000000000
"51",Chácara Klabin,"36",São Paulo,"92",Vila Mariana,97.57,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",10244832.000000001862645,10244832.000000001862645,10244832.000000001862645,10244832.000000001862645
"52",Vila Mariana,"36",São Paulo,"92",Vila Mariana,59.61,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",5533959.000000000000000,5533959.000000000000000,5533959.000000000000000,5533959.000000000000000
"53",Santa Cruz,"36",São Paulo,"92",Vila Mariana,108.52,64.983413195724296,51.907482491706602,0.000000000000000,"0","0","0","0","0","0",9268458.000000000000000,9275510.000000000000000,9281143.000000000000000,9281143.000000000000000
"54",Vila Clementino,"36",São Paulo,"92",Vila Mariana,93.70,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",8667427.000000000000000,8667427.000000000000000,8667427.000000000000000,8667427.000000000000000
"55",França Pinto,"36",São Paulo,"92",Vila Mariana,112.14,156.625646513286966,177.242732298912074,260.914927768860366,"0","0","0","0","0","0",10674829.000000000000000,10692393.000000000000000,10712269.000000000000000,10741528.000000000000000
"56",Rodrigues Alves,"36",São Paulo,"92",Vila Mariana,103.55,514.968614196040562,420.666344760984998,38.686624818928053,"0","0","0","0","0","0",12820483.000000000000000,12873808.000000000000000,12917368.000000000000000,12921374.000000000000000
"57",Paraíso,"36",São Paulo,"92",Vila Mariana,96.28,1249.605317823016094,999.075612796011569,0.000000000000000,"0","0","0","0","0","0",16209193.000000000000000,16329505.000000000000000,16425696.000000001862645,16425696.000000001862645
"58",Bosque da Saúde,"36",São Paulo,"79",Saúde,169.91,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",16749630.000000000000000,16749630.000000000000000,16749630.000000000000000,16749630.000000000000000
"59",Saúde,"36",São Paulo,"79",Saúde,260.81,9.278785322648671,10.954334573060850,16.908860856562249,"0","0","0","0","0","0",23090810.999999996274710,23093231.000000000000000,23096088.000000000000000,23100498.000000000000000
"60",Planalto Paulista,"36",São Paulo,"79",Saúde,321.66,26.033700180314614,25.632655599079772,23.394267238699246,"0","0","0","0","0","0",16234783.000000000000000,16243157.000000000000000,16251402.000000000000000,16258927.000000001862645
"61",Mirandópolis,"36",São Paulo,"79",Saúde,173.45,27.362352262899972,21.839146728163737,0.000000000000000,"0","0","0","0","0","0",15100415.000000000000000,15105161.000000000000000,15108949.000000000000000,15108949.000000000000000
"62",Parque Ibirapuera,"36",São Paulo,"53",Moema,283.70,502.463870285512883,483.718716954529498,617.049700387733537,"0","0","0","0","0","0",8450501.000000000000000,8593050.000000000000000,8730281.000000000000000,8905338.000000000000000
"63",Jardim Luzitânia,"36",São Paulo,"53",Moema,103.07,431.696905016008486,442.320752886387993,492.927136897254343,"0","0","0","0","0","0",5638306.000000000000000,5682801.000000000000000,5728391.000000000000000,5779197.000000000000000
"64",Moema,"36",São Paulo,"53",Moema,175.13,121.658196768115118,111.728430308913389,70.656084051847202,"0","0","0","0","0","0",20411658.000000000000000,20432964.000000000000000,20452531.000000000000000,20464905.000000000000000
"65",Vila Helena,"36",São Paulo,"53",Moema,104.82,590.259492463270362,554.894104178591874,412.497614958977294,"0","0","0","0","0","0",13541662.000000000000000,13603533.000000000000000,13661697.000000000000000,13704935.000000000000000
"66",Bandeirantes,"36",São Paulo,"53",Moema,133.42,24.216759106580724,19.314945285564384,0.000000000000000,"0","0","0","0","0","0",10631138.000000000000000,10634369.000000000000000,10636946.000000000000000,10636946.000000000000000
"67",Vila Nova Conceição,"36",São Paulo,"53",Moema,112.48,1940.762802275960212,1685.481863442389795,647.652916073968640,"0","0","0","0","0","0",8299176.000000000000000,8517473.000000000000000,8707056.000000000000000,8779904.000000000000000
"68",Chácara Itaim,"36",São Paulo,"34",Itaim Bibi,204.01,401.240135287485941,323.851771971962194,16.160972501347974,"1","0","0","0","0","0",24044553.000000000000000,24126410.000000003725290,24192479.000000000000000,24195776.000000003725290
"69",Vila Olímpia,"36",São Paulo,"34",Itaim Bibi,89.63,8.579716612741272,7.006582617427202,0.000000000000000,"1","0","0","0","0","0",12164095.000000000000000,12164864.000000000000000,12165492.000000000000000,12165492.000000000000000
"70",Hélio Pelegrino,"36",São Paulo,"34",Itaim Bibi,103.38,209.402205455600694,167.537241245888964,0.000000000000000,"1","0","0","0","0","0",12071651.000000000000000,12093299.000000000000000,12110618.999999998137355,12110618.999999998137355
"71",Brooklin,"36",São Paulo,"34",Itaim Bibi,234.25,66.646744930629666,87.082177161152615,168.550693703308440,"1","0","0","0","0","0",16437251.000000000000000,16452863.000000000000000,16473262.000000000000000,16512745.000000000000000
"72",Vila Cordeiro,"36",São Paulo,"34",Itaim Bibi,176.69,15.162148395494935,28.292489671175510,81.068538117607105,"1","1","0","0","0","0",12291546.000000000000000,12294224.999999998137355,12299224.000000000000000,12313548.000000000000000
"73",Berrini,"36",São Paulo,"34",Itaim Bibi,197.39,120.467095597548010,185.136025127919368,444.515932924666970,"1","0","0","0","0","0",18196541.000000000000000,18220320.000000000000000,18256864.000000000000000,18344607.000000000000000
"74",Campinas,"36",São Paulo,"44",Jardim Paulista,49.08,1105.460472697636533,935.268948655256736,268.622656886715561,"1","0","0","0","0","0",7632251.000000000000000,7686506.999999999068677,7732410.000000000000000,7745594.000000000000000
"75",Pamplona,"36",São Paulo,"44",Jardim Paulista,51.34,235.138293728087234,187.806778340475262,0.000000000000000,"1","0","0","0","0","0",8124091.000000000000000,8136163.000000000000000,8145805.000000000000000,8145805.000000000000000
"76",Jardins,"36",São Paulo,"44",Jardim Paulista,237.70,318.376104333193098,259.145982330668915,22.019352124526716,"1","1","0","0","0","0",14752933.000000001862645,14828611.000000000000000,14890210.000000000000000,14895444.000000000000000
"77",Clínicas,"36",São Paulo,"44",Jardim Paulista,128.72,340.692977004350553,973.764760720944651,467.029210689869501,"1","1","0","0","0","0",14864399.000000000000000,14908253.000000000000000,15033596.000000000000000,15093712.000000000000000
"78",Oscar Freire,"36",São Paulo,"44",Jardim Paulista,100.01,176.332366763323648,201.799820017998201,307.489251074892479,"1","1","0","0","0","0",14388444.000000000000000,14406079.000000000000000,14426261.000000000000000,14457013.000000000000000
"79",Trianon,"36",São Paulo,"44",Jardim Paulista,59.81,1336.749707406788048,2798.779468316335169,8636.147801371007517,"1","1","0","0","0","0",7512149.000000000931323,7592100.000000000000000,7759495.000000000000000,8276023.000000000000000
"80",Jardim Paulistano,"36",São Paulo,"63",Pinheiros,98.98,188.664376641745804,151.182056981208319,0.000000000000000,"1","1","1","0","0","0",11940887.000000000000000,11959561.000000000000000,11974525.000000000000000,11974525.000000000000000
"81",Jardim Europa,"36",São Paulo,"63",Pinheiros,308.02,1197.431984936043364,1003.382897214466652,197.607298227387844,"1","1","0","0","0","0",19225531.000000000000000,19594364.000000000000000,19903426.000000000000000,19964293.000000003725290
"82",Pinheiros,"36",São Paulo,"63",Pinheiros,202.58,138.616842728798503,294.441702043637065,945.438838977194109,"1","1","1","0","0","0",19167287.000000000000000,19195368.000000000000000,19255016.000000000000000,19446543.000000003725290
"83",Vila Madalena,"36",São Paulo,"63",Pinheiros,219.31,65.063152615019831,79.380785189913823,135.939993616342150,"1","1","0","0","0","0",17668850.000000000000000,17683119.000000000000000,17700528.000000000000000,17730341.000000000000000
"84",PUC,"36",São Paulo,"61",Perdizes,73.32,252.495908346972186,202.100381887615981,0.000000000000000,"0","0","0","0","0","0",8741776.000000000000000,8760289.000000000000000,8775107.000000000000000,8775107.000000000000000
"85",Cardoso de Almeida,"36",São Paulo,"61",Perdizes,63.39,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",6125802.000000000000000,6125802.000000000000000,6125802.000000000000000,6125802.000000000000000
"86",Zequinha de Abreu,"36",São Paulo,"61",Perdizes,49.61,647.490425317476365,517.597258617214266,0.000000000000000,"0","0","0","0","0","0",3752172.000000000000000,3784294.000000000000000,3809972.000000000000000,3809972.000000000000000
"87",Sumaré,"36",São Paulo,"61",Perdizes,139.16,534.198045415349270,427.809715435469968,0.000000000000000,"0","0","0","0","0","0",11884678.000000000000000,11959017.000000000000000,12018551.000000000000000,12018551.000000000000000
"88",Perdizes,"36",São Paulo,"61",Perdizes,168.45,203.259127337488877,162.962303354111015,0.000000000000000,"0","0","0","0","0","0",19669029.000000000000000,19703268.000000000000000,19730719.000000000000000,19730719.000000000000000
"89",Vila Anglo Brasileira,"36",São Paulo,"61",Perdizes,79.12,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",6849494.000000000000000,6849494.000000000000000,6849494.000000000000000,6849494.000000000000000
"90",Pompéia,"36",São Paulo,"61",Perdizes,60.00,0.000000000000000,0.000000000000000,0.000000000000000,"0","0","0","0","0","0",5793737.000000000000000,5793737.000000000000000,5793737.000000000000000,5793737.000000000000000
"91",Santa Marina,"36",São Paulo,"6",Barra Funda,295.36,373.611863488624010,295.632448537378139,75.934452871072580,"0","0","0","0","0","0",13466403.000000000000000,13576753.000000000000000,13664071.000000000000000,13686499.000000000000000
"92",Barra Funda,"36",São Paulo,"6",Barra Funda,118.21,385.500380678453610,310.430589628627047,10.794349039844345,"0","0","0","0","0","0",6500003.000000000000000,6545573.000000000000000,6582269.000000000000000,6583545.000000000000000
"93",Francisco Matarazzo,"36",São Paulo,"6",Barra Funda,105.13,142.642442690002866,258.147056025872757,837.258632169694692,"0","0","0","0","0","0",7882553.000000000000000,7897549.000000000000000,7924687.999999999068677,8012709.000000000000000
"94",Água Branca,"36",São Paulo,"6",Barra Funda,71.11,817.915904936014613,655.125861341583459,0.000000000000000,"0","0","0","0","0","0",5769891.000000000000000,5828053.000000000931323,5874639.000000000000000,5874639.000000000000000
"95",Vila Beatriz,"36",São Paulo,"2",Alto de Pinheiros,183.66,373.434607426766831,377.142546008929628,394.527932048350181,"1","0","0","0","0","0",14541192.000000000000000,14609777.000000000000000,14679043.000000000000000,14751502.000000000000000
"96",Alto de Pinheiros,"36",São Paulo,"2",Alto de Pinheiros,253.17,139.380653315953708,119.386183197061257,39.416202551645142,"1","1","0","0","0","0",10917459.000000000000000,10952746.000000001862645,10982971.000000000000000,10992950.000000000000000
"97",Boaçava,"36",São Paulo,"2",Alto de Pinheiros,314.44,270.080142475512048,284.776109909680713,250.540643684009666,"1","0","0","0","0","0",12630881.000000000000000,12715805.000000000000000,12805350.000000000000000,12884130.000000000000000
"98",Vila Anastácio,"36",São Paulo,"48",Lapa,164.66,20.563585570266003,23.017126199441272,49.034373861289929,"0","0","0","0","0","0",8042800.000000000931323,8046186.000000000000000,8049976.000000000000000,8058050.000000000000000
"99",Lapa de Baixo,"36",São Paulo,"48",Lapa,242.69,164.576208331616471,133.070995920721913,47.834686225225589,"0","0","0","0","0","0",12351117.000000000000000,12391058.000000000000000,12423353.000000000000000,12434962.000000000000000
"100",Lapa,"36",São Paulo,"48",Lapa,225.22,24.602610780570114,33.140928869549775,67.276440813426873,"0","0","0","0","0","0",16035164.000000000000000,16040705.000000000000000,16048169.000000000000000,16063321.000000000000000
"101",Vila Ipojuca,"36",São Paulo,"48",Lapa,168.47,7.591856116816050,5.977325339823114,0.000000000000000,"0","0","0","0","0","0",14542488.000000000000000,14543767.000000000000000,14544774.000000000000000,14544774.000000000000000
"102",Alto da Lapa,"36",São Paulo,"48",Lapa,159.95,322.875898718349504,258.818380743982516,0.000000000000000,"0","0","0","0","0","0",10566234.000000000000000,10617877.999999998137355,10659276.000000000000000,10659276.000000000000000
"103",Gavião Peixoto,"36",São Paulo,"48",Lapa,68.96,118.459976798143856,95.171113689095137,0.000000000000000,"0","0","0","0","0","0",3351838.000000000000000,3360007.000000000000000,3366570.000000000000000,3366570.000000000000000
"104",Bela Aliança,"36",São Paulo,"90",Vila Leopoldina,71.35,84.625087596355996,68.002803083391740,0.000000000000000,"0","0","0","0","0","0",4869098.999999999068677,4875137.000000000000000,4879989.000000000931323,4879989.000000000931323
"105",Vila Hamburguesa,"36",São Paulo,"90",Vila Leopoldina,149.18,1.910443759217053,1.447915270143451,0.000000000000000,"0","0","0","0","0","0",10059916.000000000000000,10060201.000000000000000,10060417.000000000000000,10060417.000000000000000
"106",CEASA,"36",São Paulo,"90",Vila Leopoldina,197.78,46.273637374860954,37.314187481039539,1.203357265648701,"0","0","0","0","0","0",8387228.000000000000000,8396380.000000000000000,8403760.000000000000000,8403998.000000000000000
"107",Vila Leopoldina,"36",São Paulo,"90",Vila Leopoldina,91.65,8.652482269503546,6.906710310965630,0.000000000000000,"0","0","0","0","0","0",11324714.000000001862645,11325507.000000000000000,11326140.000000000000000,11326140.000000000000000
"108",Emissário,"36",São Paulo,"90",Vila Leopoldina,190.52,98.630065085030438,158.219609489817344,553.018055847155097,"0","0","0","0","0","0",5495412.000000000000000,5514203.000000000000000,5544347.000000000000000,5649708.000000000000000
"109",Vila Zatt,"36",São Paulo,"64",Pirituba,1220.22,344.605890741013980,316.011866712560050,282.344167445214794,"0","0","0","0","0","1",46985120.000000000000000,47405615.000000000000000,47791219.000000000000000,48135741.000000000000000
"110",Pirituba,"36",São Paulo,"64",Pirituba,488.92,219.062423300335411,279.225640186533553,561.232921541356404,"0","0","0","0","0","0",24267849.000000000000000,24374953.000000000000000,24511472.000000000000000,24785870.000000000000000
"111",São Domingos,"36",São Paulo,"73",São Domingos,581.76,278.367367986798683,243.930486798679880,136.616474147414749,"0","0","0","0","0","0",28163374.000000000000000,28325317.000000000000000,28467226.000000000000000,28546704.000000000000000
"112",Jardim Mutinga,"36",São Paulo,"73",São Domingos,411.97,713.027647644245917,805.150860499550845,541.592834429691493,"0","0","0","0","0","1",19102247.000000000000000,19395993.000000003725290,19727691.000000000000000,19950811.000000000000000
"113",Vila Jaguara,"36",São Paulo,"39",Jaguara,454.34,245.432935686930506,209.611744508517859,75.599771096535633,"0","0","0","0","0","0",20594054.000000000000000,20705564.000000000000000,20800799.000000000000000,20835147.000000000000000
"114",Parque do Jaraguá,"36",São Paulo,"41",Jaraguá,489.12,6.037373241740268,30.235933922145893,99.562479555119396,"0","0","0","0","0","1",22757.000000000000000,25710.000000000000000,40499.000000000000000,89197.000000000000000
"115",Nova Jaraguá,"36",São Paulo,"41",Jaraguá,777.78,850.554141273882124,909.890971740080772,962.203965131528207,"0","0","0","1","1","1",21168084.000000003725290,21829628.000000000000000,22537323.000000000000000,23285706.000000003725290
"116",Parada de Taipas,"36",São Paulo,"41",Jaraguá,1553.24,908.762972882490772,1020.645875717854324,975.606474208750683,"0","0","0","0","1","1",49391340.000000000000000,50802867.000000000000000,52388175.000000007450581,53903526.000000000000000
"117",Parque Morro Doce,"36",São Paulo,"3",Anhanguera,1527.16,1221.746902747583590,1396.374315723303425,860.357788312946809,"0","0","0","0","0","0",17782430.000000000000000,19648233.000000000000000,21780720.000000000000000,23094624.000000000000000
"118",Anhanguera,"36",São Paulo,"3",Anhanguera,1812.79,200.200795458933470,218.105241092459693,310.344827586206918,"0","0","0","0","0","1",3772537.000000000000000,4135459.000000000000000,4530838.000000000000000,5093428.000000000000000
"119",Perus,"36",São Paulo,"62",Perus,2369.13,289.952429794903594,385.235508393376449,318.155187769349936,"0","0","0","0","1","1",28603789.000000000000000,29290724.000000000000000,30203397.000000003725290,30957148.000000000000000
"120",Vista Alegre,"36",São Paulo,"11",Brasilândia,742.47,0.000000000000000,11.363422091128260,57.714116395275227,"0","0","0","0","0","1",261.000000000000000,261.000000000000000,8698.000000000000000,51549.000000000000000
"121",Jardim Damasceno,"36",São Paulo,"11",Brasilândia,573.73,1143.670367594512982,1171.660885782510832,1315.007059069597290,"0","0","0","0","0","1",23938160.999999996274710,24594319.000000003725290,25266536.000000000000000,26020995.000000000000000
"122",Vila Souza,"36",São Paulo,"11",Brasilândia,220.86,948.220592230372176,869.265598116453816,1310.468169881372660,"0","0","0","0","0","1",12894598.000000000000000,13104021.999999998137355,13296008.000000000000000,13585438.000000000000000
"123",Vila Terezinha,"36",São Paulo,"11",Brasilândia,250.78,8.653002631788819,7.061966664008294,0.000000000000000,"0","0","0","0","0","0",21033781.000000000000000,21035951.000000000000000,21037722.000000000000000,21037722.000000000000000
